Age,CityTier,PitchDuration_Cap,NumberOfPersonVisiting,NumberOfFollowups,Product_Tier,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,NumAdultsVisiting,IncomePerPerson,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProdTaken
31,1,17,2,3,1,3,4,1,3,1,1,17356,1,8678.0,True,False,True,False,True,False,False,False,True,False,False,False,0
38,1,18,4,6,3,4,7,0,4,1,1,23455,3,5863.75,True,False,False,True,False,False,False,False,False,True,False,False,1
28,1,13,3,5,1,3,3,0,2,1,2,21217,1,7072.333333,True,False,True,False,True,False,False,False,True,False,False,False,0
37,1,20,3,3,1,5,2,0,4,1,0,18034,3,6011.333333,True,False,True,False,False,True,False,False,True,False,False,False,0
46,3,27,3,4,3,3,2,0,1,1,1,23528,2,7842.666667,True,False,True,False,False,False,False,True,False,True,False,False,0
28,1,14,2,4,1,4,2,0,4,0,1,17154,1,8577.0,True,False,True,False,False,False,True,False,True,False,False,False,1
41,1,9,3,2,3,4,3,0,3,0,2,22922,1,7640.666667,False,False,False,True,False,False,False,False,False,True,False,False,0
45,3,8,3,6,3,4,8,0,3,0,2,21040,1,7013.333333,True,False,True,False,True,False,True,False,False,True,False,False,1
39,1,9,3,5,2,3,5,1,5,1,2,26434,1,8811.333333,True,False,False,True,False,True,False,False,False,False,True,False,0
24,1,13,4,2,1,5,3,1,3,0,1,20279,3,5069.75,True,False,True,False,True,True,False,False,True,False,False,False,1
48,3,21,3,4,3,5,4,0,2,0,2,23638,1,7879.333333,True,False,False,True,True,False,False,True,False,True,False,False,0
37,3,15,3,3,2,4,2,0,1,1,2,23834,1,7944.666667,False,False,False,True,True,True,False,False,False,False,True,False,0
38,1,9,4,5,1,3,8,1,3,0,1,20768,3,5192.0,True,False,False,False,True,False,True,False,True,False,False,False,1
31,3,11,2,3,1,4,2,0,3,0,0,17789,2,8894.5,False,False,False,True,False,True,False,False,True,False,False,False,0
33,3,6,2,1,3,5,3,0,3,0,1,20376,1,10188.0,False,False,True,False,False,True,False,False,False,True,False,False,0
43,1,36,4,4,3,3,4,0,3,1,2,23234,2,5808.5,False,False,True,False,False,True,False,False,False,True,False,False,0
38,3,6,2,4,3,3,5,0,1,0,1,23686,1,11843.0,True,False,True,False,False,False,False,True,False,True,False,False,0
48,1,21,3,3,2,3,2,0,3,0,0,33265,3,11088.33333,True,False,False,True,False,True,False,False,False,False,True,False,1
44,1,23,3,5,1,3,3,0,4,1,0,17290,3,5763.333333,False,False,True,False,True,False,True,False,True,False,False,False,0
47,1,25,3,4,3,3,4,0,5,0,1,23488,2,7829.333333,True,False,False,True,False,True,False,False,False,True,False,False,0
52,1,16,4,4,1,3,5,0,3,1,1,20753,3,5188.25,True,False,True,False,True,True,False,False,True,False,False,False,0
60,3,22,2,3,3,5,1,0,4,1,0,20405,2,10202.5,True,False,False,True,True,False,True,False,False,True,False,False,0
49,1,13,2,4,2,3,1,0,2,1,1,25965,1,12982.5,True,False,True,False,True,False,False,True,False,False,True,False,0
30,1,15,3,3,3,5,2,0,1,1,1,18072,2,6024.0,False,False,False,True,True,True,False,False,False,True,False,False,0
47,1,7,4,4,2,5,2,0,1,0,3,28074,1,7018.5,True,False,False,True,True,True,False,False,False,False,True,False,0
34,3,27,3,1,3,3,2,0,3,0,0,20337,3,6779.0,True,False,True,False,True,False,True,False,False,True,False,False,0
43,1,33,3,4,2,5,5,1,3,0,1,31869,2,10623.0,False,False,False,True,False,True,False,False,False,False,True,False,0
36,1,24,3,3,1,3,2,0,3,1,2,17153,1,5717.666667,False,False,False,True,False,False,True,False,True,False,False,False,0
54,1,13,3,4,3,3,4,0,5,1,1,21128,2,7042.666667,True,False,True,False,True,False,True,False,False,True,False,False,0
43,1,36,4,4,3,4,3,0,3,1,2,23112,2,5778.0,True,False,True,False,True,False,False,False,False,True,False,False,0
34,1,15,4,4,3,3,4,1,3,0,3,25066,1,6266.5,True,False,True,False,True,False,False,True,False,True,False,False,0
37,1,10,3,4,1,4,3,0,3,1,2,22370,1,7456.666667,False,True,False,False,True,False,False,False,True,False,False,False,0
33,1,6,3,4,1,5,4,1,4,1,1,17799,2,5933.0,True,False,True,False,True,False,True,False,True,False,False,False,0
