Age,CityTier,PitchDuration_Cap,NumberOfPersonVisiting,NumberOfFollowups,Product_Tier,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,NumAdultsVisiting,IncomePerPerson,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,predicted_label,prediction_probability,true_label,correct_prediction
30,1,14,3,4,3,3,3,1,3,0,1,25301,2,8433.666667,True,False,True,False,True,True,False,False,False,True,False,False,0,2.172013e-05,0,True
27,1,11,2,4,2,3,2,1,3,1,1,27808,1,13904.0,True,True,False,False,True,True,False,False,False,False,True,False,0,4.5900306e-05,0,True
41,3,9,2,4,3,4,3,0,3,0,1,23938,1,11969.0,True,False,True,False,True,True,False,False,False,True,False,False,0,0.00044742206,0,True
41,1,26,2,4,3,3,2,1,1,1,1,21419,1,10709.5,True,False,False,True,True,True,False,False,False,True,False,False,0,5.312546e-05,0,True
37,1,9,4,4,1,3,6,0,5,1,1,21221,3,5305.25,True,False,True,False,False,False,False,False,True,False,False,False,0,6.5299987e-06,0,True
26,3,14,2,4,3,5,7,0,3,0,0,20326,2,10163.0,True,True,False,False,True,False,True,False,False,True,False,False,1,0.9993404,1,True
28,1,13,4,5,1,3,2,0,2,1,2,20865,2,5216.25,True,False,False,True,False,True,False,False,True,False,False,False,0,2.7749468e-06,0,True
38,1,32,4,4,3,3,5,1,3,1,3,23127,1,5781.75,False,False,False,True,False,True,False,False,False,True,False,False,0,0.00069837336,0,True
33,3,14,4,5,3,3,3,0,3,1,3,24162,1,6040.5,True,False,True,False,True,False,False,False,False,True,False,False,0,0.06575805,0,True
36,1,14,3,2,2,5,1,0,3,0,0,26713,3,8904.333333,False,False,True,False,False,False,False,False,False,False,True,False,0,4.226977e-05,0,True
47,3,9,4,6,4,4,5,1,5,1,1,35550,3,8887.5,True,True,False,False,False,True,False,False,False,False,False,False,0,2.4355352e-06,0,True
55,3,6,3,3,2,3,4,0,2,0,1,25239,2,8413.0,True,False,True,False,True,False,False,False,False,False,True,False,0,3.218322e-05,0,True
41,1,9,4,4,1,3,4,0,1,1,2,20679,2,5169.75,True,False,False,True,False,True,False,False,True,False,False,False,0,8.554573e-10,0,True
30,3,7,3,4,2,3,3,0,3,1,1,26596,2,8865.333333,False,False,False,True,False,False,False,False,False,False,True,False,0,2.3221592e-06,0,True
26,1,8,2,1,3,3,2,0,3,1,1,20472,1,10236.0,True,False,False,True,True,False,False,False,False,True,False,False,0,1.2524153e-09,0,True
34,3,7,3,2,3,5,4,0,3,0,2,24054,1,8018.0,False,False,True,False,False,True,False,False,False,True,False,False,0,3.0220535e-05,0,True
55,3,19,2,1,4,3,7,1,3,1,1,28695,1,14347.5,True,False,False,True,True,False,True,False,False,False,False,False,1,0.9949954,1,True
53,3,6,2,3,3,5,1,0,1,1,1,23381,1,11690.5,True,False,False,True,False,False,False,True,False,True,False,False,0,0.00016815076,0,True
